0	58.0
1	62.6
2	70.0
3	55.7
4	85.0
5	83.5
6	94.8
7	66.3
8	75.9
9	75.5
10	158.6
11	85.2
12	73.3
13	75.9
14	89.2
15	88.3
16	90.0
17	100.0
18	85.4
19	103.0
20	91.2
21	65.7
22	63.3
23	75.4
24	70.0
25	43.5
26	45.3
27	56.4
28	60.7
29	50.7
30	66.3
31	59.8
32	23.5
33	23.2
34	28.5
35	44.0
36	35.0
37	50.0
38	71.0
39	59.3
40	59.7
41	39.6
42	78.4
43	29.3
44	27.1
45	46.6
46	37.6
47	40.0
48	44.0
49	32.0
50	45.7
51	38.0
52	36.0
53	31.7
54	22.0
55	39.0
56	28.0
57	25.0
58	20.0
59	6.7
60	0.0
61	3.0
62	1.7
63	13.7
64	20.7
65	26.7
66	18.8
67	12.3
68	8.2
69	24.1
70	13.2
71	4.2
72	10.2
73	11.2
74	6.8
75	6.5
76	0.0
77	0.0
78	8.6
79	3.2
80	17.8
81	23.7
82	6.8
83	20.0
84	12.5
85	7.1
86	5.4
87	9.4
88	12.5
89	12.9
90	3.6
91	6.4
92	11.8
93	14.3
94	17.0
95	9.4
96	14.1
97	21.2
98	26.2
99	30.0
100	38.1
101	12.8
102	25.0
103	51.3
104	39.7
105	32.5
106	64.7
107	33.5
108	37.6
109	52.0
110	49.0
111	72.3
112	46.4
113	45.0
114	44.0
115	38.7
116	62.5
117	37.7
118	43.0
119	43.0
120	48.3
121	44.0
122	46.8
123	47.0
124	49.0
125	50.0
126	51.0
127	71.3
128	77.2
129	59.7
130	46.3
131	57.0
132	67.3
133	59.5
134	74.7
135	58.3
136	72.0
137	48.3
138	66.0
139	75.6
140	61.3
141	50.6
142	59.7
143	61.0
144	70.0
145	91.0
146	80.7
147	71.7
148	107.2
149	99.3
150	94.1
151	91.1
152	100.7
153	88.7
154	89.7
155	46.0
156	43.8
157	72.8
158	45.7
159	60.2
160	39.9
161	77.1
162	33.8
163	67.7
164	68.5
165	69.3
166	77.8
167	77.2
168	56.5
169	31.9
170	34.2
171	32.9
172	32.7
173	35.8
174	54.2
175	26.5
176	68.1
177	46.3
178	60.9
179	61.4
180	59.7

